time,utilization
8,0
8.5,11
9,96
9.5,96
10,96
10.5,94
11,96
11.5,96
12,95
12.5,66
13,24
13.5,79
14,94
14.5,85
15,68
15.5,43
16,12
16.5,9
17,0
