time,utilization
9,0
9.5,10
10,95
10.5,96
11,95
11.5,96
12,96
12.5,97
13,97
13.5,96
14,95
14.5,94
15,95
15.5,96
16,95
16.5,95
17,95
17.5,94
18,95
18.5,94
19,96
19.5,96
20,95
20.5,95
21,90
21.5,95
22,95
22.5,94
23,93
23.5,95
24,95
24.5,95
25,95
25.5,95
26,94
26.5,94
27,94
27.5,94
28,95
28.5,94
29,94
29.5,74
30,63
30.5,45
31,17
31.5,2
32,0
